Concelho;Taxa_imigrantes_2011;Taxa_imigrantes_2021
MARVAO;3.64;4.87
MATOSINHOS;1.85;3.04
MACAO;1.14;2.94
MEALHADA;1.83;2.38
MELGACO;2.67;2.34
MESAO FRIO;0.72;0.45
MIRA;1.68;2.65
MIRANDA DO CORVO;1.74;2.81
MIRANDA DO DOURO;1.64;2.09
MIRANDELA;1.87;2.28
MOGADOURO;1.23;1.39
MOIMENTA DA BEIRA;1.62;1.48
MOITA;4.97;7.59
MONCHIQUE;8.64;13.13
MONDIM DE BASTO;0.49;1.22
MONFORTE;1.23;1.04
MONTALEGRE;1.03;1.33
MONTEMOR-O-NOVO;2.19;2.89
MONTEMOR-O-VELHO;1.04;1.62
MONTIJO;6.41;10.02
MONCAO;2.75;4.33
MORA;1.27;1.72
MORTAGUA;2.30;3.83
MOURA;1.63;1.41
MOURAO;1.28;1.11
MURTOSA;1.12;2.56
MURCA;0.60;1.07
MERTOLA;1.70;2.14
MEDA;1.19;1.62
NAZARE;3.08;5.48
NELAS;1.27;1.89
NISA;1.33;1.66
NORDESTE;0.89;1.99
ODEMIRA;9.22;28.16
ODIVELAS;8.91;9.65
OEIRAS;5.92;6.86
OLEIROS;1.15;2.96
OLHAO;6.40;8.93
OLIVEIRA DE AZEMEIS;1.10;1.95
OLIVEIRA DE FRADES;1.93;4.02
OLIVEIRA DO BAIRRO;2.94;4.57
OLIVEIRA DO HOSPITAL;1.97;3.35
OURIQUE;3.90;5.19
OUREM;3.49;5.26
OVAR;1.29;2.12
PALMELA;3.51;5.47
PAMPILHOSA DA SERRA;0.67;3.11
PAREDES;0.54;1.43
PAREDES DE COURA;1.44;2.19
PACOS DE FERREIRA;0.74;0.91
PEDROGAO GRANDE;3.91;9.44
PENACOVA;0.88;1.63
PENAFIEL;0.55;0.84
PENALVA DO CASTELO;0.67;1.13
PENAMACOR;0.86;4.84
PENEDONO;0.64;1.42
PENELA;2.56;6.03
PENICHE;2.89;4.11
PESO DA REGUA;0.73;0.74
PINHEL;0.99;1.29
POMBAL;2.48;3.44
PONTA DELGADA;1.00;1.12
PONTA DO SOL;2.16;4.39
PONTE DA BARCA;1.43;1.93
PONTE DE LIMA;0.93;1.51
PONTE DE SOR;1.77;1.95
PORTALEGRE;2.00;1.85
PORTEL;1.29;2.89
PORTIMAO;11.58;14.06
PORTO;2.94;6.25
PORTO MONIZ;0.63;2.74
PORTO SANTO;4.60;4.62
PORTO DE MOS;2.86;3.86
POVOACAO;0.62;1.74
PROENCA-A-NOVA;1.21;2.75
POVOA DE LANHOSO;1.06;1.93
POVOA DE VARZIM;1.71;3.52
REDONDO;2.19;2.55
REGUENGOS DE MONSARAZ;2.51;2.24
