CONC;Percentagem_Max;Partido_Vencedor;cor;CONC_std
MIRANDA DO CORVO;47.09;PS;purple;MIRANDA DO CORVO
ALBERGARIA-A-VELHA;87.85;PSD/CDS;orange;ALBERGARIA-A-VELHA
ANADIA;61.56;PS;purple;ANADIA
CASTELO DE PAIVA;56.059999999999995;PSD/CDS;orange;CASTELO DE PAIVA
ESPINHO;42.42;PS;purple;ESPINHO
FEIRA;54.730000000000004;PSD/CDS;orange;FEIRA
ILHAVO;34.94;UPF;grey;ILHAVO
MURTOSA;78.92999999999999;PSD/CDS;orange;MURTOSA
OLIVEIRA DO BAIRRO;85.0;PSD/CDS;orange;OLIVEIRA DO BAIRRO
SEVER DO VOUGA;69.02000000000001;PSD/CDS;orange;SEVER DO VOUGA
VAGOS;83.88;PSD/CDS;orange;VAGOS
VALE DE CAMBRA;75.35000000000001;PSD/CDS;orange;VALE DE CAMBRA
ALMODOVAR;73.65;PS;purple;ALMODOVAR
CASTRO VERDE;60.08;PS;purple;CASTRO VERDE
OURIQUE;54.84;PS;purple;OURIQUE
VIDIGUEIRA;50.54;PCP-PEV;red;VIDIGUEIRA
CELORICO DE BASTO;47.04;PSD/CDS;orange;CELORICO DE BASTO
ESPOSENDE;72.11;PSD/CDS;orange;ESPOSENDE
FAFE;56.82;PS;purple;FAFE
POVOA DE LANHOSO;49.13;PS;purple;POVOA DE LANHOSO
TERRAS DE BOURO;79.21;PSD/CDS;orange;TERRAS DE BOURO
VIEIRA DO MINHO;62.03;PSD/CDS;orange;VIEIRA DO MINHO
VILA VERDE;60.92;PSD/CDS;orange;VILA VERDE
BRAGANCA;61.74;PSD/CDS;orange;BRAGANCA
CARRAZEDA DE ANSIAES;63.06;PSD/CDS;orange;CARRAZEDA DE ANSIAES
FREIXO DE ESPADA A CINTA;65.21;PS;purple;FREIXO DE ESPADA A CINTA
MIRANDELA;53.7;PS;purple;MIRANDELA
MOGADOURO;51.28;PSD/CDS;orange;MOGADOURO
VIMIOSO;68.11;PSD/CDS;orange;VIMIOSO
BELMONTE;43.88;PS;purple;BELMONTE
FUNDAO;60.14;PSD/CDS;orange;FUNDAO
IDANHA-A-NOVA;56.48;PS;purple;IDANHA-A-NOVA
OLEIROS;54.22;PSD/CDS;orange;OLEIROS
PENAMACOR;60.27;PS;purple;PENAMACOR
SERTA;49.57;PS;purple;SERTA
VILA DE REI;65.36;PSD/CDS;orange;VILA DE REI
ARGANIL;62.49;PSD/CDS;orange;ARGANIL
CANTANHEDE;59.669999999999995;PSD/CDS;orange;CANTANHEDE
CONDEIXA-A-NOVA;47.31;PS;purple;CONDEIXA-A-NOVA
FIGUEIRA DA FOZ;42.29;FAP;grey;FIGUEIRA DA FOZ
GOIS;44.32;PSD/CDS;orange;GOIS
MIRA;61.89;PSD/CDS;orange;MIRA
PAMPILHOSA DA SERRA;69.68;PSD/CDS;orange;PAMPILHOSA DA SERRA
PENACOVA;49.06;PSD/CDS;orange;PENACOVA
PENELA;58.6;PS;purple;PENELA
SOURE;47.76;PS;purple;SOURE
VILA NOVA DE POIARES;62.58;PS;purple;VILA NOVA DE POIARES
BORBA;46.52;MUB;grey;BORBA
PORTEL;57.99;PS;purple;PORTEL
REGUENGOS DE MONSARAZ;50.45;PSD/CDS;orange;REGUENGOS DE MONSARAZ
ALCOUTIM;57.06;PS;purple;ALCOUTIM
ALJEZUR;46.05;PS;purple;ALJEZUR
CASTRO MARIM;58.96;PSD/CDS;orange;CASTRO MARIM
LAGOA;53.2;PS;purple;LAGOA
MONCHIQUE;51.84;PS;purple;MONCHIQUE
SAO BRAS DE ALPORTEL;60.62;PS;purple;SAO BRAS DE ALPORTEL
TAVIRA;45.13;PS;purple;TAVIRA
VILA REAL DE SANTO ANTONIO;38.22;PS;purple;VILA REAL DE SANTO ANTONIO
AGUIAR DA BEIRA;53.92;PS;purple;AGUIAR DA BEIRA
ALMEIDA;52.36;PSD/CDS;orange;ALMEIDA
CELORICO DA BEIRA;58.18;PSD/CDS;orange;CELORICO DA BEIRA
FIGUEIRA DE CASTELO RODRIGO;52.07;PSD/CDS;orange;FIGUEIRA DE CASTELO RODRIGO
GOUVEIA;53.32;PSD/CDS;orange;GOUVEIA
GUARDA;75.49000000000001;PSD/CDS;orange;GUARDA
MANTEIGAS;35.16;Manteigas 2030;grey;MANTEIGAS
PINHEL;70.65;PSD/CDS;orange;PINHEL
SABUGAL;53.46;PSD/CDS;orange;SABUGAL
SEIA;45.97;PS;purple;SEIA
VILA NOVA DE FOZ COA;53.48;PSD/CDS;orange;VILA NOVA DE FOZ COA
ALCOBACA;50.9;PSD/CDS;orange;ALCOBACA
ALVAIAZERE;42.29;PSD/CDS;orange;ALVAIAZERE
ANSIAO;49.62;PS;purple;ANSIAO
BATALHA;48.58;PS;purple;BATALHA
BOMBARRAL;46.010000000000005;PSD/CDS;orange;BOMBARRAL
FIGUEIRO DOS VINHOS;45.57;PS;purple;FIGUEIRO DOS VINHOS
MARINHA GRANDE;40.11;#NAME?;grey;MARINHA GRANDE
NAZARE;47.72;PS;purple;NAZARE
PEDROGAO GRANDE;66.92;PSD/CDS;orange;PEDROGAO GRANDE
PENICHE;58.33;PSD/CDS;orange;PENICHE
POMBAL;65.22;PSD/CDS;orange;POMBAL
PORTO DE MOS;57.97;PSD/CDS;orange;PORTO DE MOS
CADAVAL;57.599999999999994;PSD/CDS;orange;CADAVAL
LOURES;32.97;PS;purple;LOURES
MAFRA;61.029999999999994;PSD/CDS;orange;MAFRA
ARRONCHES;54.46;PSD/CDS;orange;ARRONCHES
AVIS;57.42;PCP-PEV;red;AVIS
CAMPO MAIOR;54.55;PS;purple;CAMPO MAIOR
CASTELO DE VIDE;53.43;PSD/CDS;orange;CASTELO DE VIDE
CRATO;44.98;PS;purple;CRATO
FRONTEIRA;61.72;PSD/CDS;orange;FRONTEIRA
GAVIAO;49.34;PS;purple;GAVIAO
MONFORTE;64.2;PCP-PEV;red;MONFORTE
NISA;56.23;PS;purple;NISA
SOUSEL;64.26;PS;purple;SOUSEL
AMARANTE;40.07;PS;purple;AMARANTE
PACOS DE FERREIRA;57.67;PS;purple;PACOS DE FERREIRA
PORTO;60.0;PSD/CDS;orange;PORTO
POVOA DE VARZIM;57.74;PSD/CDS;orange;POVOA DE VARZIM
VILA DO CONDE;46.47;PSD/CDS;orange;VILA DO CONDE
ABRANTES;58.14;PS;purple;ABRANTES
BENAVENTE;34.74;PCP-PEV;red;BENAVENTE
CARTAXO;48.62;PSD/CDS;orange;CARTAXO
CONSTANCIA;61.06;PS;purple;CONSTANCIA
CORUCHE;53.47;PS;purple;CORUCHE
ENTRONCAMENTO;40.82;PSD/CDS;orange;ENTRONCAMENTO
FERREIRA DO ZEZERE;59.06;PS;purple;FERREIRA DO ZEZERE
GOLEGA;49.07;PSD/CDS;orange;GOLEGA
MACAO;67.51;PSD/CDS;orange;MACAO
SANTAREM;41.77;PSD/CDS;orange;SANTAREM
SARDOAL;47.33;PSD/CDS;orange;SARDOAL
VILA NOVA DA BARQUINHA;58.25;PS;purple;VILA NOVA DA BARQUINHA
ALCOCHETE;54.76;PS;purple;ALCOCHETE
BARREIRO;58.23;PS;purple;BARREIRO
ARCOS DE VALDEVEZ;63.38;PSD/CDS;orange;ARCOS DE VALDEVEZ
MELGACO;58.22;PS;purple;MELGACO
MONCAO;66.33999999999999;PSD/CDS;orange;MONCAO
PONTE DA BARCA;49.64;PSD/CDS;orange;PONTE DA BARCA
PONTE DE LIMA;56.720000000000006;PSD/CDS;orange;PONTE DE LIMA
VALENCA;41.09;PS;purple;VALENCA
VILA NOVA DE CERVEIRA;52.59;PS;purple;VILA NOVA DE CERVEIRA
BOTICAS;77.54;PSD/CDS;orange;BOTICAS
MONDIM DE BASTO;56.07;PSD/CDS;orange;MONDIM DE BASTO
MURCA;63.86;PSD/CDS;orange;MURCA
PESO DA REGUA;56.07;PSD/CDS;orange;PESO DA REGUA
SABROSA;36.38;PSD/CDS;orange;SABROSA
VALPACOS;82.08999999999999;PSD/CDS;orange;VALPACOS
VILA POUCA DE AGUIAR;68.86;PSD/CDS;orange;VILA POUCA DE AGUIAR
CARREGAL DO SAL;53.88;PS;purple;CARREGAL DO SAL
MORTAGUA;64.93;PS;purple;MORTAGUA
PENEDONO;50.13;PSD/CDS;orange;PENEDONO
RESENDE;50.53;PS;purple;RESENDE
SAO PEDRO DO SUL;61.94;PS;purple;SAO PEDRO DO SUL
SATAO;49.57;PSD/CDS;orange;SATAO
SERNANCELHE;85.99;PSD/CDS;orange;SERNANCELHE
TAROUCA;62.11;PSD/CDS;orange;TAROUCA
TONDELA;47.27;PSD/CDS;orange;TONDELA
VILA NOVA DE PAIVA;45.31;PS;purple;VILA NOVA DE PAIVA
VISEU;50.459999999999994;PSD/CDS;orange;VISEU
VOUZELA;61.45;PSD/CDS;orange;VOUZELA
CALHETA (R.A.M.);85.53;PSD/CDS;orange;CALHETA (R.A.M.)
RIBEIRA BRAVA;66.01;PSD/CDS;orange;RIBEIRA BRAVA
SANTANA;87.49;PSD/CDS;orange;SANTANA
VILA DO PORTO;59.03;PS;purple;VILA DO PORTO
NORDESTE;73.19;PSD/CDS;orange;NORDESTE
PONTA DELGADA;50.47;PSD/CDS;orange;PONTA DELGADA
POVOACAO;66.72;PS;purple;POVOACAO
RIBEIRA GRANDE;62.93;PSD/CDS;orange;RIBEIRA GRANDE
VILA FRANCA DO CAMPO;51.84;PS;purple;VILA FRANCA DO CAMPO
CALHETA (R.A.A.);54.97;PSD/CDS;orange;CALHETA (R.A.A.)
VELAS;70.85;PSD/CDS;orange;VELAS
MADALENA;60.03;PSD/CDS;orange;MADALENA
SAO ROQUE DO PICO;63.0;PSD/CDS;orange;SAO ROQUE DO PICO
