Concelho;A;ADN;B.E.;CDS-PP;CH;E;EMBRANCO;IL;JPP;L;MAS;MPT;NC;NULOS;PAN;PCP-PEV;PCTP/MRPP;PPD/PSD;PPD/PSD.CDS-PP;PPD/PSD.CDS-PP.PPM;PPM;PS;PTP;R.I.R.;VP
MOITA;;0.35;6.2;1.03;9.59;0.08;1.04;3.24;0.06;0.97;0.08;0.12;0.07;0.72;1.72;14.79;0.86;9.97;;;;48.57;0.04;0.34;0.12
MONCAO;0.15;;2.15;2.25;6.48;0.06;1.3;3.09;;0.31;0.1;0.14;;0.88;0.53;0.88;;41.66;;;;39.55;;0.46;0.03
MONCHIQUE;;0.21;4.01;1.33;4.8;0.16;1.87;2.2;;0.44;0.11;0.16;;1.78;0.91;4.11;;28.89;;;;48.26;0.13;0.63;0.02
MONDIM DE BASTO;;;1.68;3.52;5.99;0.03;0.23;1.8;;0.22;0.3;0.04;0.12;1.01;0.7;1.25;;45.49;;;;37.14;;0.39;0.07
MONFORTE;;;1.4;1.29;16.99;0.04;0.92;1.19;;0.52;0.09;0.28;;1.05;0.53;11.32;0.92;18.46;;;;44.52;0.11;0.11;0.3
MONTALEGRE;;;1.23;0.9;4.93;0.08;0.92;0.84;;0.4;0.32;0.1;0.08;0.65;0.43;0.78;;39.59;;;;48.3;;0.32;0.14
MONTEMOR-O-NOVO;;;2.67;1.89;6.04;0.03;1.26;1.81;;0.58;0.05;0.04;;0.84;0.58;20.57;;15.8;;;;47.27;0.09;0.33;0.16
MONTEMOR-O-VELHO;0.17;;4.8;1.41;8.32;0.07;1.62;2.91;;0.85;0.11;0.1;;1.11;0.94;3.45;0.22;24.3;;;;49.11;;0.44;0.05
MONTIJO;;0.23;4.07;1.84;11.79;0.1;0.94;4.94;0.05;0.84;0.07;0.04;0.13;0.79;1.43;6.51;0.62;19.5;;;;45.66;0.04;0.39;0.05
MORA;;;2.53;0.88;5.35;0.06;1.14;1.66;;0.25;0.02;0.06;;0.66;0.51;27.04;;14.06;;;;45.5;0.04;0.06;0.18
MORTAGUA;;0.1;4.01;1.42;6.18;0.15;2.14;2.11;;0.72;0.06;0.16;0.14;0.9;0.61;1.3;;35.48;;;;43.59;0.01;0.1;0.13
MOURA;;;1.66;0.86;20.74;0.1;0.84;1.16;;0.33;0.06;0.13;;0.97;0.37;15.96;0.67;10.75;;;;45.11;0.05;0.24;0.02
MOURAO;;;1.09;1.32;14.17;0.0;0.75;0.96;;0.13;0.0;0.04;;1.21;0.09;9.63;;32.07;;;;38.26;0.2;0.09;0.0
MURCA;;;1.27;2.68;7.92;0.13;0.83;0.53;;0.2;0.38;0.09;0.16;1.27;0.62;1.13;;42.85;;;;39.3;;0.52;0.12
MURTOSA;;0.24;3.43;2.37;6.39;0.02;1.61;3.17;0.06;0.44;0.12;0.08;;0.67;1.0;1.4;0.45;45.71;;;;32.2;;0.53;0.1
