COD,CONC,ORG,A,B.E.,CDS-PP,CH,E,IL,JPP,L,MAS,MPT,NC,PAN,PCTP/MRPP,PDR,PPD/PSD,PPM,PS,PTP,R.I.R.,VP,PCP-PEV,[NC/A],IN-OV,VM,[MCCP],[AFE],[CPC],[MMMI],AP,MIPA,[SPCVB],[S-MI],[UTV],[MVR],[MC21],[MCPE],[CLIP],[MPNT],[MOVE],[MAiSines],MUB,R,FAP,#NAME?,Manteigas 2030,UPF,MMMF,MOV.PT,I-Góis,M51,JÁ!,U.C.,UCPT,CICC,jmfv,MFI,MCPE,JPNT,MLP,GCA,MP,CIC,,VA,PV,[ALTERNATIVAcom,,CICF,CPM,[MPT/PPM/A,UPM,MSU,CIMB
21100,ODEMIRA,CM,,6.95,,3.76,,4.72,,,,,,,,,6.65,,49.09,,,,28.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300,SERPA,CM,,2.5,,15.62,,,,,,,,,,,4.7,,32.31,,,,44.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100,AMARES,CM,,,,8.51,,,,,,,,,,,54.63,,33.97,,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200,BARCELOS,CM,,2.38,,3.92,,,,,0.72,,,,,,47.59,,38.96,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30400,CABECEIRAS DE BASTO,CM,,,,0.8,,,,,,,,,,,55.26,,43.18,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800,GUIMARAES,CM,,2.57,,3.39,,1.85,,,,,,1.31,,,35.39,,49.76,,,,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31200,VILA NOVA DE FAMALICAO,CM,,1.96,,2.96,,2.42,,,,,,1.67,,,55.02,,33.45,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31400,VIZELA,CM,,1.7,,1.86,,,,,,,,,,,18.32,,76.37,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40100,ALFANDEGA DA FE,CM,,,,,,,,,,,,,,,44.78,,53.94,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40500,MACEDO DE CAVALEIROS,CM,,,,1.25,,,,,,,,,,,41.55,,50.21,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,,
40600,MIRANDA DO DOURO,CM,,,,0.52,,,,,,,,,,,56.02,,42.54,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41000,VILA FLOR,CM,,1.78,,,,,,,,,,,,,55.55,,41.82,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41200,VINHAIS,CM,,,,1.55,,,,,,,,,,,45.81,,52.08,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50800,PROENCA-A-NOVA,CM,,,,,,,,,,,,,,,28.92,,68.57,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51100,VILA VELHA DE RODAO,CM,,,,,,,,,,,,,,,18.57,,76.74,,,,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60700,LOUSA,CM,,5.07,,2.8,,,,,,,,,,,33.64,,55.58,,,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61000,MONTEMOR-O-VELHO,CM,,2.63,,3.37,,,,,,,,,,,33.84,,52.79,,,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61100,OLIVEIRA DO HOSPITAL,CM,,,,3.81,,,,,,,,,,,35.16,,58.34,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61600,TABUA,CM,,,,,,,,,,,,,,,43.71,,54.32,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70100,ALANDROAL,CM,,,,,,,,,,,20.48,,,,7.46,,58.8,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,ARRAIOLOS,CM,,,,,,,,,,,,,,,9.95,,27.7,,,,62.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70800,MOURAO,CM,,,,5.1,,,,,,,,,,,48.59,,37.93,,,,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,REDONDO,CM,,,,2.27,,,,,,,,,,,44.96,,27.97,,,,14.28,,,,,,,,,,,,,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71200,VENDAS NOVAS,CM,,,,3.19,,,,,,,,,,,35.44,,42.47,,,,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90500,FORNOS DE ALGODRES,CM,,,,,,,,,,,,,,,35.71,,62.9,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90900,MEDA,CM,,,,,,,,,,,,,,,52.28,,46.53,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91300,TRANCOSO,CM,,,,,,,,,,,,,,,34.75,,63.38,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100700,CASTANHEIRA DE PERA,CM,,,,,,,,,,,,,,,38.69,,41.46,,,,0.89,,,,,,,,,,,,,,18.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110200,ARRUDA DOS VINHOS,CM,,,,4.87,,,,,,,,,,,22.5,,67.14,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110800,LOURINHA,CM,,,,11.23,,,,,,,,,,,36.29,,47.82,,,,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111200,SOBRAL DE MONTE AGRACO,CM,,,,,,,,,,,,,,,25.36,,29.33,,,,45.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120100,ALTER DO CHAO,CM,,3.11,,3.37,,,,,,,,,,,45.1,,41.04,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120700,ELVAS,CM,,,,10.12,,,,,,,,,,,14.37,,32.32,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.21,,,,,,,,,,,,,,,,
121000,MARVAO,CM,,,,2.06,,,,,,,,,,,49.6,,45.74,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121300,PONTE DE SOR,CM,,3.6,,7.56,,,,,,,,,,,6.59,,67.21,,,,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
